HomeTeam,AwayTeam,Referee,BWH,BWD,BWA,Avg<2.5,Avg>2.5,Day_of_year,Day_of_week,Month,Year,Season
Aston Villa,West Ham,M Dean,1.85,3.4,4.1,1.75,2.01,226,Saturday,8,2010,2010/2011
Blackburn,Everton,P Dowd,2.75,3.25,2.45,1.7,2.08,226,Saturday,8,2010,2010/2011
Bolton,Fulham,S Attwell,2.15,3.25,3.25,1.69,2.09,226,Saturday,8,2010,2010/2011
Chelsea,West Brom,M Clattenburg,1.15,6.75,16.0,2.49,1.49,226,Saturday,8,2010,2010/2011
Sunderland,Birmingham,A Taylor,2.15,3.2,3.3,1.65,2.16,226,Saturday,8,2010,2010/2011
Tottenham,Man City,A Marriner,2.35,3.3,2.85,1.84,1.91,226,Saturday,8,2010,2010/2011
Wigan,Blackpool,M Halsey,1.78,3.4,4.5,1.68,2.11,226,Saturday,8,2010,2010/2011
Wolves,Stoke,L Probert,2.25,3.15,3.1,1.6,2.25,226,Saturday,8,2010,2010/2011
Liverpool,Arsenal,M Atkinson,2.45,3.25,2.75,1.62,2.21,227,Sunday,8,2010,2010/2011
Man United,Newcastle,C Foy,1.22,5.5,12.5,2.05,1.72,228,Monday,8,2010,2010/2011
Arsenal,Blackpool,M Jones,1.16,6.5,15.5,2.69,1.42,233,Saturday,8,2010,2010/2011
Birmingham,Blackburn,M Oliver,2.2,3.1,3.3,1.59,2.27,233,Saturday,8,2010,2010/2011
Everton,Wolves,L Mason,1.45,4.0,7.0,1.81,1.94,233,Saturday,8,2010,2010/2011
Stoke,Tottenham,C Foy,3.3,3.2,2.15,1.64,2.18,233,Saturday,8,2010,2010/2011
West Brom,Sunderland,K Friend,2.45,3.2,2.75,1.69,2.11,233,Saturday,8,2010,2010/2011
West Ham,Bolton,A Marriner,2.15,3.25,3.25,1.77,1.99,233,Saturday,8,2010,2010/2011
Wigan,Chelsea,M Dean,12.5,5.5,1.22,2.2,1.61,233,Saturday,8,2010,2010/2011
Fulham,Man United,P Walton,6.25,3.8,1.53,1.82,1.94,234,Sunday,8,2010,2010/2011
Newcastle,Aston Villa,M Atkinson,2.85,3.25,2.35,1.69,2.11,234,Sunday,8,2010,2010/2011
Man City,Liverpool,P Dowd,2.25,3.2,3.05,1.62,2.2,235,Monday,8,2010,2010/2011
Blackburn,Arsenal,C Foy,6.0,3.75,1.55,1.95,1.81,240,Saturday,8,2010,2010/2011
Blackpool,Fulham,M Oliver,2.95,3.3,2.3,1.82,1.95,240,Saturday,8,2010,2010/2011
Chelsea,Stoke,M Atkinson,1.1,8.25,20.0,2.99,1.35,240,Saturday,8,2010,2010/2011
Man United,West Ham,M Clattenburg,1.12,7.5,18.5,2.73,1.41,240,Saturday,8,2010,2010/2011
Tottenham,Wigan,P Dowd,1.22,5.75,11.5,2.48,1.5,240,Saturday,8,2010,2010/2011
Wolves,Newcastle,S Attwell,2.35,3.25,2.85,1.66,2.16,240,Saturday,8,2010,2010/2011
Aston Villa,Everton,M Jones,2.45,3.2,2.8,1.71,2.07,241,Sunday,8,2010,2010/2011
Bolton,Birmingham,K Friend,2.05,3.3,3.45,1.67,2.12,241,Sunday,8,2010,2010/2011
Liverpool,West Brom,L Probert,1.22,5.5,12.5,2.28,1.58,241,Sunday,8,2010,2010/2011
