HomeTeam,AwayTeam,Referee,BWH,BWD,BWA,Avg<2.5,Avg>2.5,Day_of_year,Day_of_week,Month,Year,Season
Newcastle,Chelsea,C Pawson,6,4.6,1.5,1.62,2.2,326,Saturday,11,2020,2020/2021
Aston Villa,Brighton,M Oliver,2.2,3.6,3.1,1.72,2.05,326,Saturday,11,2020,2020/2021
Tottenham,Man City,M Dean,4.1,3.8,1.83,1.6,2.25,326,Saturday,11,2020,2020/2021
Man United,West Brom,D Coote,1.3,5.5,9.75,1.62,2.2,326,Saturday,11,2020,2020/2021
Fulham,Everton,A Madley,4,3.8,1.85,1.72,2.05,327,Sunday,11,2020,2020/2021
Sheffield United,West Ham,M Atkinson,3,3.3,2.4,2.05,1.72,327,Sunday,11,2020,2020/2021
Leeds,Arsenal,A Taylor,3.1,3.75,2.15,1.65,2.15,327,Sunday,11,2020,2020/2021
Liverpool,Leicester,C Kavanagh,1.91,3.8,3.75,1.6,2.25,327,Sunday,11,2020,2020/2021
Burnley,Crystal Palace,K Friend,2.75,3.1,2.75,2.4,1.53,328,Monday,11,2020,2020/2021
Wolves,Southampton,A Marriner,2.3,3.25,3.2,2.2,1.62,328,Monday,11,2020,2020/2021
